code,open,close,low,high,open_std,close_std,total_volume,total_turnover,volume_std,turnover_std
600757,69500,70100,69300,70200,0.0010991264160739526,0.0012286848016035503,8412387,58680332,43144.54648185986,301218.75920037297
600758,74100,75500,73900,75700,0.0011582350978698603,0.0010889212060664097,12068483,90605177,57241.93145877369,431421.7350453631
600759,43000,43600,42900,44300,0.0019473379147948843,0.001969801480442127,25996519,113612949,123101.84494642382,540067.8060447795
600760,352700,353600,348100,357299,0.0016942052945834805,0.0015379261338247427,13756573,484440247,60581.516946239586,2142457.4408160998
600761,105399,107300,104000,107600,0.0010970275808269633,0.001041795284219961,7156133,76527642,33065.88751850123,353682.30085007823
600763,324000,320800,318600,325700,0.001232424736986418,0.0011809254807460573,2948401,94897835,12956.485788170421,416991.8444693535
600764,279300,280800,277100,282000,0.0015491035126225239,0.0013022589334376652,715400,20002872,5631.282854109236,157538.37713656237
600765,120399,121400,119900,121600,0.0007691502035165936,0.0008102153635393585,4240303,51279847,16127.342178157047,195142.01984668587
600766,91900,91300,90700,91900,0.0013932875722918504,0.0014117824942339046,1748799,15949445,10213.645828984223,93089.36929092831
600768,146900,147900,146300,148200,0.0009048390616111747,0.0010005986427302626,1103426,16248369,7340.982087224514,108241.12470643526
600769,60100,60199,59400,60500,0.0015944448615505544,0.0016553649965790735,1722757,10333066,12398.559085415662,74158.64131883753
600770,75800,76300,75600,76700,0.0012314738054365706,0.0011953627018686688,9739382,74291803,38779.26216172068,295386.1229036025
600771,409900,409099,404600,411800,0.000981265820147996,0.0009768573966788402,1430504,58217784,7452.179948657221,303606.8524331257
600773,117100,117800,116900,119300,0.0013151479327035839,0.0012297353106538907,10824072,127477372,54448.11590442246,643432.87006339
600774,197399,198200,196300,198800,0.0008263510574365681,0.000690772506696107,573898,11336362,5746.058384136481,113600.82680097906
600775,78900,78600,78500,79800,0.0010749460884908006,0.001117509585031152,3277262,25875031,20272.880392430376,159911.53199991756
600776,72100,72900,71900,73300,0.0010928012169364465,0.001152908570230176,8054045,58511595,34213.489070239484,248499.54057564732
600777,37200,38500,36600,39100,0.0024635381689886698,0.0024275817330168055,48443750,185174269,307067.17619264865,1181824.006846897
600778,59800,60300,59300,60500,0.0014869056965611737,0.0013876267056901971,1297350,7777281,9991.451007713531,59904.069187007386
600779,460100,464799,456000,466900,0.001527126390899397,0.0015020926899062177,5715116,263853416,17751.09586150218,819982.6154039274
600780,47500,47500,47100,48000,0.0014324161306274257,0.0013729181902033326,1335900,6331052,13274.935741202455,62879.4684064218
600781,230000,226100,223600,230000,0.002220024015139215,0.0017840894479516517,2374049,53674262,13041.62666282603,294978.0851848951
600782,65800,69300,64700,69500,0.0021013712629086205,0.0022183834922782863,79981760,542578604,283844.6541646297,1940210.4487222133
600783,153600,153300,152200,154100,0.0008902674770708981,0.0008975302901368308,2788990,42747396,12806.74422672028,195992.15253368978
600784,53800,54700,53700,54700,0.0011115257604655717,0.0012255435296239748,2068664,11245047,11890.086841572667,64653.14855899822
600785,209500,210900,207000,213000,0.0010225625315404656,0.0010015998198429346,380681,8032648,2195.894971991156,46322.67182125802
600787,110000,113000,109700,113300,0.0011999862816204688,0.0010963784661207486,18029605,202752870,56718.44681841427,639185.7149942317
600789,79700,80500,78200,81800,0.001875943697389627,0.0018217635940106322,14490632,115674169,103206.12250350311,831886.1635143422
600790,59700,60100,59700,60199,0.0010784024210644637,0.0011096106189880778,2742021,16447296,14502.483174066056,86942.61947843754
600791,69200,70500,68700,72300,0.002294575293686671,0.002229727553949241,6958843,49251687,45133.624560171054,321152.56063124596
600792,42500,43400,42500,43500,0.0016967238196841376,0.0017041737597776976,5522720,23809449,41855.96459614043,181124.38510082898
600793,235000,234600,231600,238000,0.0017475274737849542,0.001683994542411071,1161944,27173343,8164.803103528359,190554.63600111275
600795,31200,31400,31100,31500,0.0021474340978803125,0.0021775264811819788,41028277,128711902,212959.82549684244,668461.4937600116
600796,73600,74500,73100,75300,0.0014239329788082043,0.0015038712396783839,2709541,20139557,19512.68897812104,145268.89943783527
600797,118300,118800,117500,119300,0.0009026918327153301,0.0009144358263898696,9507327,112532441,32724.074042054806,387348.65754365316
600798,50400,51200,50400,51200,0.0012928457920400238,0.0012741498009309579,7537285,38334323,41790.13521465297,212868.75999704388
600800,65199,65300,64800,65900,0.0015236322228186746,0.0014289153002021622,3931651,25589609,21242.179094726867,138266.78905930324
600801,142500,155400,140800,155400,0.002268961429258406,0.002271232652654123,52396209,785629681,322649.8870038626,4956707.080108388
